ticker,prob_up,signal,atr14,entry_price,stop_loss,target_price,risk_reward,horizon_days,signal_date
HINDALCO.NS,0.33457687,LONG,18.53,884.15,847.08,921.22,1.0,5,2025-12-30
TMPV.NS,0.33275124,LONG,6.56,358.77,345.65,371.9,1.0,5,2025-12-30
ADANIENT.NS,0.3113192,LONG,40.25,2213.71,2133.21,2294.21,1.0,5,2025-12-30
WIPRO.NS,0.29710776,LONG,3.56,257.01,249.89,264.14,1.0,5,2025-12-30
COALINDIA.NS,0.28140387,LONG,6.47,392.81,379.86,405.75,1.0,5,2025-12-30
ULTRACEMCO.NS,0.2766235,LONG,144.59,11705.0,11415.82,11994.18,1.0,5,2025-12-30
ICICIBANK.NS,0.26661134,LONG,14.0,1342.5,1314.5,1370.5,1.0,5,2025-12-30
APOLLOHOSP.NS,0.26332006,LONG,113.09,6980.73,6754.56,7206.91,1.0,5,2025-12-30
CIPLA.NS,0.2541971,LONG,19.42,1478.63,1439.78,1517.48,1.0,5,2025-12-30
HINDUNILVR.NS,0.24820778,LONG,26.63,2290.2,2236.93,2343.47,1.0,5,2025-12-30
